source,model,point,block,name,description,longdescription,dtype,unit,category,meanings,labels
ss40k_inverter,40100,verArmEms,fixed,verArmEms,EMS ARM firmware version,"Firmware version of the embedded ARM processor managing energy management system (EMS) logic. Typically governs site-level control, communications, and grid interaction. Data code: 40100.verArmEms",string,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
ss40k_inverter,40100,verAFCI,fixed,verAFCI,AFCI module firmware version,Firmware version of the Arc-Fault Circuit Interrupter (AFCI) safety module. Confirms AFCI functionality and safety compliance level. Data code: 40100.verAFCI,string,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
ss40k_inverter,40100,verLCD1,fixed,verLCD1,LCD 1 firmware version,"Firmware version of the primary LCD interface board, used to display system status and settings. Data code: 40100.verLCD1",uint16,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
ss40k_inverter,40100,verLCD2,fixed,verLCD2,LCD 2 firmware version,Firmware version of the secondary LCD interface or expansion display module.  Data code: 40100.verLCD2,uint16,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
ss40k_inverter,40100,verProto,fixed,verProto,Protocol software version,Version of the communication protocol firmware that defines inverter data and command interface behavior. Data code: 40100.verProto,uint16,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate
ss40k_inverter,40100,verSafety,fixed,verSafety,Safety version,Version identifier for inverter safety control software. Used to confirm compliance with regulatory safety standards. Data code: 40100.verSafety,uint16,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate
ss40k_inverter,40100,reserved2,fixed,reserved2,Reserved,Reserved register. No current function. Data code: 40100.reserved2,string,N/A,PCS information,,
ss40k_inverter,40100,nMppt,fixed,nMppt,MPPT number,Number of independent Maximum Power Point Tracking (MPPT) channels available on the inverter. Each channel can independently optimize PV string voltage and current. Data code: 40100.nMppt,uint16,N/A,DC-PV,,Level of Detail: Complete; Equipment: Inverter; Component: PV-DC; Type of Data: Nameplate
ss40k_inverter,40100,reserved3,fixed,reserved3,Reserved,Reserved register. No current function. Data code: 40100.reserved3,string,N/A,DC-PV,,
ss40k_inverter,40100,nGridPhase,fixed,nGridPhase,Grid phase configuration,Configuration type for interconnection. Data code: 40100.nGridPhase,enum16,N/A,Grid,"{1: 'single phase', 2: 'split phase', 3: 'three phases'}",Level of Detail: Complete; Equipment: Inverter; Component: Grid; Type of Data: Nameplate; Type of Data: Status
ss40k_inverter,40100,reserved4,fixed,reserved4,Reserved,Reserved register. No current function. Data code: 40100.reserved4,string,N/A,Grid,,
ss40k_inverter,40100,V_SF,fixed,V_SF,Voltage scale factor,Scaling factor applied to voltage-related measurements. Used internally to convert raw data to engineering units. Data code: 40100.V_SF,sunssf,N/A,Scale Factors,,
ss40k_inverter,40100,Hz_SF,fixed,Hz_SF,Frequency scale factor,Scaling factor applied to frequency measurements. Used internally for frequency data normalization. Data code: 40100.Hz_SF,sunssf,N/A,Scale Factors,,
ss40k_inverter,40100,VA1_SF,fixed,VA1_SF,Apparent power scale factor,Scaling factor applied to apparent power measurements. Used to convert raw register values to display units. Data code: 40100.VA1_SF,sunssf,N/A,Scale Factors,,
ss40k_inverter,40100,W1_SF,fixed,W1_SF,Active power scale factor,Scaling factor applied to active power measurements. Used for engineering unit conversion. Data code: 40100.W1_SF,sunssf,N/A,Scale Factors,,
ss40k_inverter,40100,reserved5,fixed,reserved5,Reserved,Reserved register. No current function. Data code: 40100.reserved5,string,N/A,Scale Factors,,
ss40k_inverter,40101,ID,fixed,ID,Model identifier,Unique identifier for this SunSpec model block within the inverter’s data map. Used internally for addressing. Data code: 40101.ID,uint16,N/A,General,,
ss40k_inverter,40101,L,fixed,L,Model length,Specifies the number of registers used by this model block. Primarily used by integrators for protocol mapping and diagnostics. Data code: 40101.L,uint16,N/A,General,,
ss40k_inverter,40101,siteID,fixed,siteID,Site identifier,Unique identifier assigned to the installation site. Used for associating telemetry data with a specific system or location. Data code: 40101.siteID,uint32,N/A,Site information,,
ss40k_inverter,40101,reserved1,fixed,reserved1,Reserved,Reserved register. No current function. Data code: 40101.reserved1,string,N/A,Site information,,
ss40k_inverter,40101,SN,fixed,SN,Device serial number,"Unique serial number assigned to this inverter. Used for service tracking, firmware management, and telemetry association. Data code: 40101.SN",string,N/A,PCS information,,
ss40k_inverter,40101,reserved2,fixed,reserved2,Reserved,Reserved register. No current function. Data code: 40101.reserved2,string,N/A,PCS information,,
ss40k_inverter,40101,pvStat,fixed,pvStat,PV status,Indicates whether the photovoltaic input subsystem is operating normally or has detected a fault. Data code: 40101.pvStat,enum16,N/A,DC-PV,"{0: 'Normal', 1: 'Failure'}",Level of Detail: Complete; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,pPvTotal,fixed,pPvTotal,PV total input power,Total combined DC input power from all PV strings. Represents total DC solar generation by the inverter. Data code: 40101.pPvTotal,uint32,W,DC-PV,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pMppt1,fixed,pMppt1,MPPT1 power,Instantaneous DC power measured at the first Maximum Power Point Tracking (MPPT) channel. Data code: 40101.pMppt1,uint32,W,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,iMppt1,fixed,iMppt1,MPPT1 current,Input current flowing into MPPT channel 1 from the connected PV string. Data code: 40101.iMppt1,uint16,A,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vMppt1,fixed,vMppt1,MPPT1 voltage,Input voltage measured at MPPT channel 1 terminals. Data code: 40101.vMppt1,uint16,V,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pMppt2,fixed,pMppt2,MPPT2 power,Instantaneous DC power measured at the second MPPT channel. Data code: 40101.pMppt2,uint32,W,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,iMppt2,fixed,iMppt2,MPPT2 current,Input current flowing into MPPT channel 2 from the connected PV string. Data code: 40101.iMppt2,uint16,A,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vMppt2,fixed,vMppt2,MPPT2 voltage,Input voltage measured at MPPT channel 2 terminals. Data code: 40101.vMppt2,uint16,V,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pMppt3,fixed,pMppt3,MPPT3 power,Instantaneous DC power measured at the third MPPT channel. Data code: 40101.pMppt3,uint32,W,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,iMppt3,fixed,iMppt3,MPPT3 current,Input current flowing into MPPT channel 3 from the connected PV string. Data code: 40101.iMppt3,uint16,A,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vMppt3,fixed,vMppt3,MPPT3 voltage,Input voltage measured at MPPT channel 3 terminals. Data code: 40101.vMppt3,uint16,V,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pMppt4,fixed,pMppt4,MPPT4 power,Instantaneous DC power measured at the fourth MPPT channel. Data code: 40101.pMppt4,uint32,W,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,iMppt4,fixed,iMppt4,MPPT4 current,Input current flowing into MPPT channel 4 from the connected PV string. Data code: 40101.iMppt4,uint16,A,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vMppt4,fixed,vMppt4,MPPT4 voltage,Input voltage measured at MPPT channel 4 terminals. Data code: 40101.vMppt4,uint16,V,DC-PV,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-DC; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,reserved3,fixed,reserved3,Reserved,Reserved register. No current function. Data code: 40101.reserved3,string,N/A,DC-PV,,
ss40k_inverter,40101,capBat,fixed,capBat,Battery capacity,Nameplate battery capacity expressed in amp-hours for the installed pack. Use to validate configuration and estimate runtime. This value is read from the inverter. Data code: 40101.capBat,uint16,Ah,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings
ss40k_inverter,40101,socBat,fixed,socBat,Battery state of charge,Current battery state of charge as a percentage. This value is read from the inverter. Data code: 40101.socBat,uint16,%,Battery,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: %
ss40k_inverter,40101,sohBat,fixed,sohBat,Battery state of health,Average state of health across all battery modules. Indicates long-term capacity retention relative to new. This value is read from the inverter. Data code: 40101.sohBat,uint16,%,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: %
ss40k_inverter,40101,batChgDischMode,fixed,batChgDischMode,Battery charge/discharge mode,"Current battery operating state, reflecting whether the pack is charging, discharging, holding, or at an end-of-range condition. This value is read from the inverter. Data code: 40101.batChgDischMode",enum16,N/A,Battery,"{1: 'Charging', 2: 'Discharging', 3: 'Empty', 4: 'Full', 5: False, 6: 'Holding'}",Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,pBatChg,fixed,pBatChg,Battery charge power,Positive real power flowing **into** the battery (charging). Useful for verifying charge limits and schedules. This value is read from the inverter. Data code: 40101.pBatChg,uint32,W,Battery,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pBatDischg,fixed,pBatDischg,Battery discharge power,Positive real power flowing **out of** the battery (discharging). Useful for load support and export control. This value is read from the inverter. Data code: 40101.pBatDischg,uint32,W,Battery,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,iBat,fixed,iBat,Battery current,Instantaneous DC current at the battery terminals. Sign may indicate direction depending on implementation. This value is read from the inverter. Data code: 40101.iBat,int32,A,Battery,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vBat,fixed,vBat,Battery voltage,Instantaneous DC voltage at the battery terminals. Use with current to validate power and cable sizing. This value is read from the inverter. Data code: 40101.vBat,uint16,V,Battery,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vBatCellMax,fixed,vBatCellMax,Battery maximum cell voltage,Highest measured single-cell voltage across the pack. Useful for balancing and protection checks. This value is read from the inverter. Data code: 40101.vBatCellMax,uint16,V,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vBatCellMin,fixed,vBatCellMin,Battery minimum cell voltage,Lowest measured single-cell voltage across the pack. Useful for diagnosing imbalance and aging. This value is read from the inverter. Data code: 40101.vBatCellMin,uint16,V,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,locBatCellVoltMax,fixed,locBatCellVoltMax,Module index of max cell voltage,Index (smallest module number) of the module containing the highest cell voltage. Aids pinpointing imbalance. This value is read from the inverter. Data code: 40101.locBatCellVoltMax,uint32,N/A,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,locBatCellVoltMin,fixed,locBatCellVoltMin,Module index of min cell voltage,Index (smallest module number) of the module containing the lowest cell voltage. Aids pinpointing weak cells. This value is read from the inverter. Data code: 40101.locBatCellVoltMin,uint32,N/A,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,tempBat,fixed,tempBat,Battery temperature,Measured temperature representative of the battery pack environment. Used for thermal limits and performance. This value is read from the inverter. Data code: 40101.tempBat,int16,C,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempBatCellAvg,fixed,tempBatCellAvg,Battery average cell temperature,Average temperature across cells/modules. Useful for trend and thermal management. This value is read from the inverter. Data code: 40101.tempBatCellAvg,int16,C,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempBatCellMax,fixed,tempBatCellMax,Battery maximum cell temperature,Highest measured cell/module temperature. Check against derating and protection thresholds. This value is read from the inverter. Data code: 40101.tempBatCellMax,int16,C,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempBatCellMin,fixed,tempBatCellMin,Battery minimum cell temperature,Lowest measured cell/module temperature. Helps detect sensor faults or cold spots. This value is read from the inverter. Data code: 40101.tempBatCellMin,int16,C,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,locBatCellTempMax,fixed,locBatCellTempMax,Module index of max cell temperature,Index (smallest module number) of the module with the highest cell temperature for targeted inspection. This value is read from the inverter. Data code: 40101.locBatCellTempMax,uint32,N/A,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,locBatCellTempMin,fixed,locBatCellTempMin,Module index of min cell temperature,Index (smallest module number) of the module with the lowest cell temperature for targeted inspection. This value is read from the inverter. Data code: 40101.locBatCellTempMin,uint32,N/A,Battery,,Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,bmsReqForceChg,fixed,bmsReqForceChg,Forced charging (BMS request),BMS request flag indicating whether a forced charge is commanded due to protection or balancing needs. This value is read from the inverter. Data code: 40101.bmsReqForceChg,enum16,N/A,Battery,"{0: 'BMS Force charge: OFF', 1: 'BMS Force charge: ON'}",Level of Detail: Complete; Equipment: Battery; Component: Battery; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,reserved4,fixed,reserved4,Reserved,Reserved register. No current function. Data code: 40101.reserved4,string,N/A,Battery,,
ss40k_inverter,40101,W,fixed,W,Inverter Power,Net active (real) power at the inverter AC output. Data code: 40101.W,int32,W,Inverter,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,Var,fixed,Var,Reactive power total,Total reactive power at the inverter AC output for power factor and VAR support analysis. Data code: 40101.Var,int32,Var,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VA,fixed,VA,Apparent power total,Total apparent power at the inverter AC output (vector sum of real and reactive components). Data code: 40101.VA,uint32,VA,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,PF,fixed,PF,Power factor,Instantaneous power factor of the inverter AC output. Unitless ratio of real to apparent power. Data code: 40101.PF,int16,N/A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings
ss40k_inverter,40101,A,fixed,A,Total AC current,Sum of RMS currents across active phases at the inverter output. Data code: 40101.A,int32,A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,LLV,fixed,LLV,Inverter Output Voltage,Line-to-line RMS voltage at the inverter output (average of active phases). Data code: 40101.LLV,uint16,V,Inverter,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,LNV,fixed,LNV,Inverter Output Voltage L-N,Line-to-neutral RMS voltage at the inverter output. Data code: 40101.LNV,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,Hz,fixed,Hz,AC frequency,Output frequency of the inverter when operating. Useful for grid sync and backup mode checks. Data code: 40101.Hz,uint32,Hz,Inverter,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Freq
ss40k_inverter,40101,WL1,fixed,WL1,Active power L1,Real power on phase L1 at the inverter output. Data code: 40101.WL1,int32,W,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VarL1,fixed,VarL1,Reactive power L1,Reactive power on phase L1 at the inverter output. Data code: 40101.VarL1,int32,Var,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VAL1,fixed,VAL1,Apparent power L1,Apparent power on phase L1 at the inverter output. Data code: 40101.VAL1,uint32,VA,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,PFL1,fixed,PFL1,Power factor L1,Phase L1 power factor (unitless). Data code: 40101.PFL1,int16,N/A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings
ss40k_inverter,40101,AL1,fixed,AL1,Current L1,RMS current on phase L1 at the inverter output. Data code: 40101.AL1,int32,A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,VL1L2,fixed,VL1L2,Voltage L1-L2,Line-to-line voltage between phases L1 and L2. Data code: 40101.VL1L2,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,VL1,fixed,VL1,Voltage L1-N,Line-to-neutral voltage on phase L1. Data code: 40101.VL1,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,WL2,fixed,WL2,Active power L2,Real power on phase L2 at the inverter output. Data code: 40101.WL2,int32,W,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VarL2,fixed,VarL2,Reactive power L2,Reactive power on phase L2 at the inverter output. Data code: 40101.VarL2,int32,Var,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VAL2,fixed,VAL2,Apparent power L2,Apparent power on phase L2 at the inverter output. Data code: 40101.VAL2,uint32,VA,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,PFL2,fixed,PFL2,Power factor L2,Phase L2 power factor (unitless). Data code: 40101.PFL2,int16,N/A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings
ss40k_inverter,40101,AL2,fixed,AL2,Current L2,RMS current on phase L2 at the inverter output. Data code: 40101.AL2,int32,A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,VL2L3,fixed,VL2L3,Voltage L2-L3,Line-to-line voltage between phases L2 and L3. Data code: 40101.VL2L3,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,VL2,fixed,VL2,Voltage L2-N,Line-to-neutral voltage on phase L2. Data code: 40101.VL2,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,WL3,fixed,WL3,Active power L3,Real power on phase L3 at the inverter output. Data code: 40101.WL3,int32,W,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VarL3,fixed,VarL3,Reactive power L3,Reactive power on phase L3 at the inverter output. Data code: 40101.VarL3,int32,Var,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,VAL3,fixed,VAL3,Apparent power L3,Apparent power on phase L3 at the inverter output. Data code: 40101.VAL3,uint32,VA,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,PFL3,fixed,PFL3,Power factor L3,Phase L3 power factor (unitless). Data code: 40101.PFL3,int16,N/A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings
ss40k_inverter,40101,AL3,fixed,AL3,Current L3,RMS current on phase L3 at the inverter output. Data code: 40101.AL3,int32,A,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,VL3L1,fixed,VL3L1,Voltage L3-L1,Line-to-line voltage between phases L3 and L1. Data code: 40101.VL3L1,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,VL3,fixed,VL3,Voltage L3-N,Line-to-neutral voltage on phase L3. Data code: 40101.VL3,uint16,V,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,Prec,fixed,Prec,AC charging rectification power,Power consumed by the rectifier stage during AC charging of the battery (if applicable). Data code: 40101.Prec,int32,W,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,tempAmb,fixed,tempAmb,Ambient temperature,Ambient temperature measured near the inverter enclosure. Useful for site condition assessment. Data code: 40101.tempAmb,int16,C,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempInt,fixed,tempInt,Internal temperature,Internal inverter temperature. Used for thermal protection and derating analysis. Data code: 40101.tempInt,int16,C,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempLLC,fixed,tempLLC,LLC circuit temperature,Temperature of the LLC (resonant) stage or equivalent converter section. Monitor for stress and cooling adequacy. Data code: 40101.tempLLC,int16,C,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,tempInv,fixed,tempInv,Inverter circuit temperature,Temperature of the inverter power stage heat sink or IGBTs/MOSFETs. Data code: 40101.tempInv,int16,C,Inverter,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Readings; Unit: Temp
ss40k_inverter,40101,reserved5,fixed,reserved5,Reserved,Reserved register. No current function. Data code: 40101.reserved5,string,N/A,Inverter,,
ss40k_inverter,40101,gridStat,fixed,gridStat,Grid status,Status of the utility/grid input as detected by the inverter protection and sync logic. Data code: 40101.gridStat,enum16,N/A,Grid,"{0: 'Normal', 1: 'Failure'}",Level of Detail: Complete; Equipment: Inverter; Component: Grid; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,pGridImpTot,fixed,pGridImpTot,Power imported from grid,Total real power imported from the grid (consumed by the site). Data code: 40101.pGridImpTot,uint32,W,Grid,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Grid; Type of Data: Readings; Unit: Power
